experiment_id,stage,status,lab_commit,minimind_commit,base_weight,dataset,hardware,dtype,seed,swanlab_url,report_path,checkpoint_url,started_at,finished_at
E00-l20-baseline-20260823,stage0,completed,9ca9fe21899fc5e0a4b4b425cfecba03eca4161b,393e387e9ad99f0f04c296e4c5e7353f4444629f,,,8xL20,bfloat16,42,n/a-no-cloud-run,experiments/00-preparation/E00-l20-baseline-20260823/report.md,,2026-08-23T04:10:00Z,2026-08-23T05:18:03Z
E01-tokenizer-dataset-20260823,stage1,completed,080179c9d1ec2a0752e2a21155af899e7509c5b9,393e387e9ad99f0f04c296e4c5e7353f4444629f,,jingyaogong/minimind_dataset@312afb4f,8xL20,n/a,42,n/a-no-training,experiments/00-preparation/E01-tokenizer-dataset-20260823/report.md,,2026-08-23T08:36:21Z,2026-08-23T13:40:24Z
E02-model-probe-20260823,stage2,completed,5ccb66702c2f1f1b969c79240fd5fe5e247131cd,393e387e9ad99f0f04c296e4c5e7353f4444629f,,pretokenized-probe@312afb4f,8xL20,bfloat16,42/43/44,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/iq14wfm1nc1ca8iigdbop,experiments/00-preparation/E02-model-probe-20260823/report.md,,2026-08-23T16:20:07Z,2026-08-23T16:22:52Z
P01-dense-pretrain-mini-20260824,stage3,completed,64d2908c8300985357993a66011e2b6114104fd1,393e387e9ad99f0f04c296e4c5e7353f4444629f,random-init,pretrain_t2t_mini@312afb4f,8xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/nfax3tyg0j217j1cz8y0b,experiments/01-pretrain/P01-dense-pretrain-mini-20260824/report.md,,2026-08-24T03:16:40Z,2026-08-24T04:02:29Z
P02-dense-pretrain-full-20260824,stage5,completed,10e2de6deb1d3dc827e896149b1d3e8ba1c3a85c,393e387e9ad99f0f04c296e4c5e7353f4444629f,random-init,pretrain_t2t@312afb4f,8xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/3i1muwq039fpfv89fq4ru,experiments/01-pretrain/P02-dense-pretrain-full-20260824/report.md,,2026-08-24T12:04:45Z,2026-08-24T16:50:32Z
P03-dense-pretrain-v1-1b28-20260901,stage5,completed,222e39c934d7bb4d96472ceb40d22f8aa7fc578b,393e387e9ad99f0f04c296e4c5e7353f4444629f,random-init,pretrain-v1-1b28-final-remix-v1@cd018f6d,8xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/qdpjh47fjt98184oos4bl,experiments/01-pretrain/P03-dense-pretrain-v1-1b28-20260901/report.md,local-cpfs:/data/artifacts/minimind-lab/P03-dense-pretrain-v1-1b28-20260901/formal-b32-a1-epoch1/checkpoints/p03_formal_b32_a1_768.pth,2026-09-01T08:07:46Z,2026-09-01T08:54:08Z
S03-dense-sft-official-pilot-8m-20260904,phase2-sft,completed,c1133b5261b401abffd630b74696e8000090c617,393e387e9ad99f0f04c296e4c5e7353f4444629f,P03@0cfb7fc8,official-pilot@103c7dcf,8xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/7duhsb00,experiments/02-sft/S03-dense-sft-official-pilot-8m-20260904/report.md,local-cpfs:/data/artifacts/minimind-lab/S03-dense-sft-official-pilot-8m-20260904/checkpoints/s05a_best_val_768.pth,2026-09-04T15:55:57Z,2026-09-04T16:10:14Z
S04-dense-sft-custom-pilot-8m-20260904,phase2-sft,completed,c1133b5261b401abffd630b74696e8000090c617,393e387e9ad99f0f04c296e4c5e7353f4444629f,P03@0cfb7fc8,sft-v1-pilot@434fe27f,8xL20,bfloat16,42,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/h0k5g99o,experiments/02-sft/S04-dense-sft-custom-pilot-8m-20260904/report.md,local-cpfs:/data/artifacts/minimind-lab/S04-dense-sft-custom-pilot-8m-20260904/checkpoints/s05b_best_val_768.pth,2026-09-04T15:56:40Z,2026-09-04T16:10:17Z
S09-targeted-chat-curriculum-20260907,phase2-sft,completed-accepted,c1133b5261b401abffd630b74696e8000090c617,c1133b5261b401abffd630b74696e8000090c617,S08,sft-chat-repair-v3@db58f183,7xL20-GPU1-7,bfloat16,20260907,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/ipqdqgzl,experiments/02-sft/S09-targeted-chat-curriculum-20260907/report.md,local-cpfs:/data/artifacts/minimind-lab/S09-targeted-chat-curriculum-20260907/checkpoints/s07r2_best_val_768.pth,2026-09-07T08:31:00Z,2026-09-07T08:34:22Z
S10-ifeval-curriculum-v4-20260907,phase2-sft,completed-accepted-with-limitations,c1133b5261b401abffd630b74696e8000090c617,c1133b5261b401abffd630b74696e8000090c617,S09@57adcf7e,ifeval-curriculum-v4@c80962ef,7xL20-GPU1-7,bfloat16,20260907,https://swanlab.cn/@richliu0153/MiniMind-Lab/runs/bxdob3rh,experiments/02-sft/S10-ifeval-curriculum-v4-20260907/report.md,local-cpfs:/data/artifacts/minimind-lab/S10-ifeval-curriculum-v4-20260907/checkpoints/s08_best_val_768.pth,2026-09-07T10:02:52Z,2026-09-07T10:06:36Z
